sec,nanosec,parent_frame,child_frame,x,y,z,qx,qy,qz,qw
105,909000000,ground_truth,base_link_truth,9.119833472697445,14.340115999755337,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,943000000,ground_truth,base_link_truth,9.124189541164602,14.349159933451372,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,977000000,ground_truth,base_link_truth,9.12854560963176,14.358203867147406,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
106,45000000,ground_truth,base_link_truth,9.137257746566156,14.376291734539446,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
106,45000000,ground_truth,base_link_truth,9.137257746566156,14.376291734539446,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
106,45000000,ground_truth,base_link_truth,9.137257746566156,14.376291734539446,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
106,79000000,ground_truth,base_link_truth,9.141613815033313,14.38533566823548,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
106,113000000,ground_truth,base_link_truth,9.145841763839755,14.394113603881603,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
106,113000000,ground_truth,base_link_truth,9.145841763839755,14.394113603881603,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
106,147000000,ground_truth,base_link_truth,9.150197832306912,14.403157537577638,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
106,215000000,ground_truth,base_link_truth,9.158909969241309,14.421245404969678,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
106,215000000,ground_truth,base_link_truth,9.158909969241309,14.421245404969678,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
106,215000000,ground_truth,base_link_truth,9.158909969241309,14.421245404969678,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
106,249000000,ground_truth,base_link_truth,9.163266037708466,14.430289338665713,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
